Brand,Model_Year,Fuel_Type,Transmission,Kilometers_Driven,Mileage_kmpl,Engine_CC,Owner_Type,Seats,Price_Lakh
Mahindra,2023,Electric,Manual,170250,14.7,1370,Third,4,9.42
Honda,2018,Petrol,Automatic,148737,13.1,1656,Second,7,10.66
Tata,2008,Petrol,Automatic,5534,22.7,2584,First,5,7.05
Honda,2017,Electric,Automatic,96828,23.6,2527,Third,7,11.95
Honda,2012,Diesel,Manual,41132,18.1,1847,Second,6,11.21
Hyundai,2023,Petrol,Manual,120720,19.4,2296,Third,6,7.74
Tata,2016,CNG,Manual,41110,13.9,2223,Third,6,9.16
Tata,2022,Petrol,Automatic,194826,22.0,1391,Third,7,6.59
Tata,2010,CNG,Manual,68580,19.5,2981,Third,4,5.89
Honda,2022,Electric,Manual,158541,17.6,1220,Third,6,9.66
Mahindra,2023,Petrol,Automatic,69016,10.9,1147,First,4,11.26
Tata,2009,Diesel,Automatic,51233,23.7,965,First,4,5.33
Toyota,2013,Petrol,Manual,134863,19.2,1736,First,5,10.83
Honda,2007,Petrol,Automatic,194304,12.9,1147,Second,7,3.24
Hyundai,2014,Petrol,Automatic,111311,19.1,1197,First,6,2.78
Mahindra,2023,Electric,Automatic,39409,20.2,1382,First,4,10.19
Toyota,2007,Diesel,Automatic,155396,17.9,2400,Second,7,8.58
Toyota,2019,Petrol,Manual,144810,20.8,1107,First,7,9.81
Hyundai,2005,Diesel,Automatic,29054,18.7,898,Third,6,3.46
Mahindra,2011,Electric,Manual,34709,24.2,2065,First,5,9.51
Honda,2016,CNG,Manual,114321,10.8,957,First,5,10.8
Maruti,2021,Petrol,Manual,5363,11.6,1353,First,4,8.68
Mahindra,2009,Diesel,Manual,15358,12.6,1450,Third,5,7.36
Hyundai,2008,Diesel,Automatic,139312,20.4,1868,Third,5,0.94
Toyota,2016,Electric,Automatic,50689,19.7,2295,Third,5,12.49
Honda,2022,Petrol,Automatic,6936,23.4,2678,Third,7,15.58
Mahindra,2021,CNG,Manual,117272,21.0,1533,Second,6,9.29
Maruti,2023,Diesel,Manual,96074,17.6,2750,Third,7,7.15
Maruti,2013,Petrol,Manual,180037,24.9,891,Third,7,0.45
Tata,2008,CNG,Automatic,5882,14.0,2427,Third,6,8.81
Tata,2006,Diesel,Manual,156296,22.5,2015,Third,7,2.27
Hyundai,2008,Diesel,Automatic,110227,16.4,1900,Second,4,3.28
Mahindra,2006,CNG,Automatic,130865,19.7,2104,First,4,6.47
Mahindra,2019,CNG,Automatic,128745,20.9,2187,First,7,11.22
Toyota,2006,Electric,Automatic,166897,19.5,978,Third,5,6.05
Toyota,2008,Petrol,Manual,33885,12.1,1079,Third,7,11.05
Toyota,2010,Petrol,Automatic,176128,16.6,1842,Third,5,7.82
Tata,2011,Electric,Manual,139275,18.4,2418,First,7,6.83
Mahindra,2014,Diesel,Automatic,196313,22.7,1170,First,4,7.44
Mahindra,2023,CNG,Manual,138316,16.7,2600,Third,5,9.82
Maruti,2023,CNG,Manual,103322,23.8,2503,First,4,7.49
Tata,2016,CNG,Automatic,73619,16.6,1103,Second,7,8.32
Honda,2007,Diesel,Automatic,26584,18.2,2148,Third,6,8.99
Tata,2017,CNG,Automatic,13521,21.9,2260,Third,5,10.19
Honda,2022,CNG,Manual,186089,18.7,1993,Second,5,11.07
Maruti,2012,Electric,Automatic,38541,24.4,2861,Second,7,7.13
Hyundai,2019,Diesel,Automatic,34063,19.9,1468,First,7,5.72
Mahindra,2005,Petrol,Manual,75268,17.8,1299,Second,5,5.48
Maruti,2007,Electric,Automatic,131218,10.4,2214,Third,6,-0.0
Mahindra,2012,Electric,Manual,123206,16.2,2372,First,7,7.55
Toyota,2008,Petrol,Automatic,175635,14.5,1329,Second,7,6.67
Hyundai,2020,Electric,Manual,175824,21.2,2806,First,7,5.97
Hyundai,2014,Diesel,Manual,138639,13.1,2019,First,6,3.67
Maruti,2016,CNG,Automatic,152193,13.1,1554,First,5,3.15
Hyundai,2018,Diesel,Manual,137746,12.8,1614,First,4,6.51
Honda,2018,Petrol,Automatic,81411,11.9,1526,Second,7,10.62
Hyundai,2006,Petrol,Automatic,114876,14.7,1530,Third,6,3.66
Mahindra,2009,Electric,Manual,165212,23.3,1627,Third,5,6.24
Mahindra,2009,Diesel,Automatic,145399,21.6,2131,Second,5,8.03
Mahindra,2010,Diesel,Manual,28331,21.0,2846,Third,6,9.62
Mahindra,2017,Petrol,Manual,28004,22.0,1674,First,7,10.32
Honda,2013,Diesel,Manual,124243,14.0,2978,First,4,8.21
Tata,2019,Petrol,Manual,146564,23.3,2803,First,7,7.23
Toyota,2018,Diesel,Manual,190869,12.1,2477,Second,5,10.86
Maruti,2011,Diesel,Manual,194167,15.0,1407,First,4,0.45
Mahindra,2006,Diesel,Manual,149821,18.8,2873,First,7,7.95
Hyundai,2011,Petrol,Manual,68217,11.5,2277,Second,4,5.05
Mahindra,2010,Electric,Automatic,94044,21.0,1434,First,6,5.0
Hyundai,2021,Diesel,Automatic,14045,15.8,2009,First,7,9.79
Toyota,2006,Petrol,Manual,25116,21.8,1283,Third,5,10.43
Toyota,2007,Petrol,Automatic,23667,17.4,1874,Second,5,10.17
Toyota,2009,Diesel,Automatic,80057,12.7,2714,First,4,12.9
Hyundai,2009,Diesel,Automatic,79205,21.0,2852,First,6,3.0
Mahindra,2005,Electric,Automatic,32302,13.8,1388,First,7,7.71
Toyota,2012,Petrol,Automatic,147355,17.4,2028,First,6,9.48
